Service,Relational Database Service($),EC2-ELB($),Key Management Service($),EC2-Instances($),CloudTrail($),S3($),EC2-Other($),Lambda($),Glue($),DynamoDB($),Elastic Container Registry Public($),CloudWatch($),Total cost ($)
Service Total,0.202743406,0.022632495,0.014784946,0.0116,0.00982,0.003955337,0.003225852,0.000001136,0,0,0,0,0.268763172
03-10-2022,0.202743406,0.022632495,0.014784946,0.0116,0.00982,0.003955337,0.003225852,0.000001136,0,0,0,0,2.89822162
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,0.250021753,,,,,,,,,
